75: 1072.512573, 809.106934 avg, 0.000000 rate, 7.120098 seconds, 4800 images
76: 1059.808716, 834.177124 avg, 0.000000 rate, 7.138156 seconds, 4864 images
77: 1050.479248, 855.807312 avg, 0.000000 rate, 7.048436 seconds, 4928 images
78: 1035.807495, 873.807312 avg, 0.000000 rate, 7.107484 seconds, 4992 images
79: 1022.507629, 888.677368 avg, 0.000000 rate, 7.060072 seconds, 5056 images
80: 1010.546997, 900.864319 avg, 0.000000 rate, 7.013761 seconds, 5120 images
81: 660.935364, 876.871399 avg, 0.000000 rate, 5.184704 seconds, 5184 images
82: 652.465820, 854.430847 avg, 0.000000 rate, 5.296786 seconds, 5248 images
83: 638.030762, 832.790833 avg, 0.000000 rate, 5.264669 seconds, 5312 images
84: 630.218689, 812.533630 avg, 0.000000 rate, 5.243117 seconds, 5376 images
85: 620.501709, 793.330444 avg, 0.000000 rate, 5.298622 seconds, 5440 images
86: 611.468506, 775.144226 avg, 0.000000 rate, 5.405905 seconds, 5504 images
87: 600.654053, 757.695190 avg, 0.000000 rate, 5.299135 seconds, 5568 images
88: 587.241638, 740.649841 avg, 0.000000 rate, 5.280114 seconds, 5632 images
89: 580.113831, 724.596252 avg, 0.000000 rate, 5.265815 seconds, 5696 images
90: 568.442627, 708.980896 avg, 0.000000 rate, 5.339770 seconds, 5760 images
91: 556.640137, 693.746826 avg, 0.000000 rate, 5.174617 seconds, 5824 images
92: 547.208313, 679.092957 avg, 0.000000 rate, 5.366674 seconds, 5888 images
93: 537.209534, 664.904602 avg, 0.000000 rate, 5.286977 seconds, 5952 images
94: 523.327026, 650.746826 avg, 0.000000 rate, 5.303323 seconds, 6016 images
95: 511.704254, 636.842590 avg, 0.000000 rate, 5.340733 seconds, 6080 images
96: 501.442017, 623.302551 avg, 0.000000 rate, 5.284170 seconds, 6144 images
97: 489.204895, 609.892761 avg, 0.000000 rate, 5.339006 seconds, 6208 images
98: 476.413086, 596.544800 avg, 0.000000 rate, 5.298007 seconds, 6272 images
99: 464.588684, 583.349182 avg, 0.000000 rate, 5.360975 seconds, 6336 images
100: 452.949463, 570.309204 avg, 0.000000 rate, 5.299677 seconds, 6400 images
101: 318.683472, 545.146606 avg, 0.000000 rate, 3.981997 seconds, 6464 images
102: 309.205414, 521.552490 avg, 0.000000 rate, 4.019763 seconds, 6528 images
103: 301.925812, 499.589813 avg, 0.000000 rate, 4.216729 seconds, 6592 images
104: 293.262939, 478.957123 avg, 0.000000 rate, 4.074653 seconds, 6656 images
105: 284.292999, 459.490723 avg, 0.000000 rate, 4.046437 seconds, 6720 images
106: 277.304016, 441.272064 avg, 0.000000 rate, 4.099799 seconds, 6784 images
107: 270.472015, 424.192047 avg, 0.000000 rate, 4.106010 seconds, 6848 images
108: 262.287506, 408.001587 avg, 0.000000 rate, 4.007414 seconds, 6912 images
109: 254.119202, 392.613342 avg, 0.000000 rate, 4.046865 seconds, 6976 images
110: 247.502502, 378.102264 avg, 0.000000 rate, 4.109010 seconds, 7040 images
111: 287.313599, 369.023407 avg, 0.000000 rate, 4.457233 seconds, 7104 images
112: 277.033997, 359.824463 avg, 0.000000 rate, 4.482859 seconds, 7168 images
113: 268.768494, 350.718872 avg, 0.000000 rate, 4.529164 seconds, 7232 images
114: 261.386719, 341.785645 avg, 0.000000 rate, 4.497104 seconds, 7296 images
115: 252.313721, 332.838440 avg, 0.000000 rate, 4.519199 seconds, 7360 images
116: 245.715042, 324.126099 avg, 0.000000 rate, 4.566195 seconds, 7424 images
117: 233.909546, 315.104431 avg, 0.000000 rate, 4.460521 seconds, 7488 images
118: 228.723892, 306.466370 avg, 0.000000 rate, 4.517709 seconds, 7552 images
119: 220.045731, 297.824310 avg, 0.000000 rate, 4.484718 seconds, 7616 images
120: 210.921295, 289.134003 avg, 0.000000 rate, 4.496414 seconds, 7680 images
121: 409.349609, 301.155579 avg, 0.000000 rate, 8.735063 seconds, 7744 images
122: 393.008362, 310.340851 avg, 0.000000 rate, 8.996038 seconds, 7808 images
123: 372.074524, 316.514221 avg, 0.000000 rate, 9.002591 seconds, 7872 images
124: 355.632263, 320.426025 avg, 0.000000 rate, 9.076755 seconds, 7936 images
125: 338.009094, 322.184326 avg, 0.000000 rate, 8.973124 seconds, 8000 images
126: 317.259094, 321.691803 avg, 0.000000 rate, 9.048549 seconds, 8064 images
127: 302.902191, 319.812836 avg, 0.000000 rate, 8.912519 seconds, 8128 images
128: 283.978546, 316.229401 avg, 0.000000 rate, 8.976202 seconds, 8192 images
129: 265.384552, 311.144928 avg, 0.000000 rate, 8.950681 seconds, 8256 images
130: 249.568451, 304.987274 avg, 0.000000 rate, 9.032461 seconds, 8320 images
131: 261.187347, 300.607269 avg, 0.000000 rate, 9.473087 seconds, 8384 images
132: 242.475769, 294.794128 avg, 0.000000 rate, 9.739248 seconds, 8448 images
133: 225.887360, 287.903442 avg, 0.000000 rate, 9.815111 seconds, 8512 images
134: 207.298721, 279.842957 avg, 0.000000 rate, 9.775074 seconds, 8576 images
135: 192.548920, 271.113556 avg, 0.000000 rate, 9.692653 seconds, 8640 images
136: 180.282364, 262.030426 avg, 0.000000 rate, 9.669427 seconds, 8704 images
137: 163.290863, 252.156464 avg, 0.000000 rate, 9.689498 seconds, 8768 images
138: 151.467880, 242.087601 avg, 0.000000 rate, 9.713077 seconds, 8832 images
139: 139.947021, 231.873550 avg, 0.000000 rate, 9.638083 seconds, 8896 images
140: 128.983612, 221.584564 avg, 0.000000 rate, 9.757673 seconds, 8960 images
141: 45.913219, 204.017426 avg, 0.000000 rate, 4.047173 seconds, 9024 images
142: 43.398571, 187.955536 avg, 0.000000 rate, 4.067668 seconds, 9088 images
143: 40.485252, 173.208511 avg, 0.000000 rate, 4.032311 seconds, 9152 images
144: 36.961529, 159.583817 avg, 0.000000 rate, 4.051965 seconds, 9216 images
145: 34.735588, 147.098999 avg, 0.000000 rate, 4.029425 seconds, 9280 images
146: 31.898998, 135.578995 avg, 0.000000 rate, 3.996529 seconds, 9344 images
147: 29.352278, 124.956322 avg, 0.000000 rate, 4.084796 seconds, 9408 images
148: 27.464848, 115.207176 avg, 0.000000 rate, 4.097219 seconds, 9472 images
149: 27.640957, 106.450554 avg, 0.000000 rate, 4.035830 seconds, 9536 images
150: 27.873396, 98.592834 avg, 0.000001 rate, 4.034635 seconds, 9600 images
151: 48.124550, 93.546005 avg, 0.000001 rate, 6.844720 seconds, 9664 images
152: 43.213654, 88.512772 avg, 0.000001 rate, 7.065532 seconds, 9728 images
153: 42.563820, 83.917877 avg, 0.000001 rate, 6.994441 seconds, 9792 images
154: 40.536316, 79.579720 avg, 0.000001 rate, 7.094589 seconds, 9856 images
155: 38.134556, 75.435204 avg, 0.000001 rate, 6.996089 seconds, 9920 images
156: 36.018337, 71.493515 avg, 0.000001 rate, 7.079056 seconds, 9984 images
157: 32.285088, 67.572670 avg, 0.000001 rate, 7.086703 seconds, 10048 images
158: 31.126789, 63.928082 avg, 0.000001 rate, 7.012163 seconds, 10112 images
159: 29.365921, 60.471867 avg, 0.000001 rate, 7.096162 seconds, 10176 images
160: 26.752937, 57.099976 avg, 0.000001 rate, 7.062294 seconds, 10240 images
161: 18.063484, 53.196327 avg, 0.000001 rate, 4.406216 seconds, 10304 images
162: 15.158122, 49.392506 avg, 0.000001 rate, 4.494855 seconds, 10368 images
163: 14.444348, 45.897690 avg, 0.000001 rate, 4.478964 seconds, 10432 images
164: 13.938839, 42.701805 avg, 0.000001 rate, 4.473273 seconds, 10496 images
165: 14.163550, 39.847980 avg, 0.000001 rate, 4.536672 seconds, 10560 images
166: 15.468913, 37.410072 avg, 0.000001 rate, 4.468961 seconds, 10624 images
167: 12.763192, 34.945385 avg, 0.000001 rate, 4.441069 seconds, 10688 images
168: 10.735891, 32.524437 avg, 0.000001 rate, 4.548800 seconds, 10752 images
169: 12.764364, 30.548429 avg, 0.000001 rate, 4.491566 seconds, 10816 images
170: 12.756571, 28.769243 avg, 0.000001 rate, 4.510556 seconds, 10880 images
171: 15.879427, 27.480261 avg, 0.000001 rate, 6.921025 seconds, 10944 images
172: 15.627679, 26.295002 avg, 0.000001 rate, 7.027423 seconds, 11008 images
173: 15.288382, 25.194340 avg, 0.000001 rate, 7.050949 seconds, 11072 images
174: 14.949282, 24.169834 avg, 0.000001 rate, 7.105998 seconds, 11136 images
175: 14.799765, 23.232826 avg, 0.000001 rate, 7.104175 seconds, 11200 images
176: 13.056400, 22.215183 avg, 0.000001 rate, 7.065045 seconds, 11264 images
177: 11.447885, 21.138453 avg, 0.000001 rate, 7.086964 seconds, 11328 images
178: 11.686145, 20.193222 avg, 0.000001 rate, 7.085050 seconds, 11392 images
179: 11.020568, 19.275957 avg, 0.000001 rate, 7.055634 seconds, 11456 images
180: 10.864868, 18.434849 avg, 0.000001 rate, 7.053690 seconds, 11520 images
181: 11.107705, 17.702135 avg, 0.000001 rate, 6.393365 seconds, 11584 images
182: 10.089844, 16.940907 avg, 0.000001 rate, 6.649044 seconds, 11648 images
183: 11.535047, 16.400320 avg, 0.000001 rate, 6.545245 seconds, 11712 images
184: 10.549661, 15.815254 avg, 0.000001 rate, 6.646022 seconds, 11776 images
185: 9.231362, 15.156865 avg, 0.000001 rate, 6.502494 seconds, 11840 images
186: 7.397333, 14.380912 avg, 0.000001 rate, 6.528061 seconds, 11904 images
187: 8.478679, 13.790689 avg, 0.000001 rate, 6.632920 seconds, 11968 images
188: 7.461146, 13.157734 avg, 0.000001 rate, 6.453626 seconds, 12032 images
189: 7.526608, 12.594622 avg, 0.000001 rate, 6.547687 seconds, 12096 images
190: 7.367085, 12.071868 avg, 0.000001 rate, 6.536952 seconds, 12160 images
191: 5.302977, 11.394979 avg, 0.000001 rate, 3.916586 seconds, 12224 images
192: 3.979982, 10.653479 avg, 0.000001 rate, 4.081959 seconds, 12288 images
193: 6.094910, 10.197621 avg, 0.000001 rate, 4.084780 seconds, 12352 images
194: 5.510266, 9.728886 avg, 0.000001 rate, 4.071322 seconds, 12416 images
195: 8.400997, 9.596097 avg, 0.000001 rate, 4.032991 seconds, 12480 images
196: 5.039008, 9.140388 avg, 0.000001 rate, 4.011793 seconds, 12544 images
197: 5.514291, 8.777779 avg, 0.000002 rate, 4.047679 seconds, 12608 images
198: 6.348942, 8.534895 avg, 0.000002 rate, 4.054462 seconds, 12672 images
199: 4.666630, 8.148068 avg, 0.000002 rate, 4.030278 seconds, 12736 images
200: 5.288852, 7.862147 avg, 0.000002 rate, 4.025610 seconds, 12800 images
201: 4.775538, 7.553486 avg, 0.000002 rate, 3.942919 seconds, 12864 images
202: 2.944608, 7.092598 avg, 0.000002 rate, 4.068821 seconds, 12928 images
